iter	Passed	Remaining
0	1	192
1	3	177
2	4	155
3	5	141
4	7	135
5	8	130
6	9	127
7	10	125
8	12	122
9	13	121
10	14	119
11	16	117
12	17	116
13	18	114
14	19	113
15	21	111
16	22	109
17	23	108
18	25	106
19	26	105
20	29	112
21	31	110
22	32	109
23	34	107
24	35	106
25	36	104
26	38	103
27	39	101
28	41	101
29	42	100
30	44	98
31	46	97
32	47	96
33	48	94
34	50	93
35	51	91
36	53	90
37	54	89
38	56	87
39	57	86
40	59	85
41	60	83
42	61	82
43	63	80
44	64	79
45	66	77
46	68	77
47	69	75
48	71	74
49	72	72
50	74	71
51	75	69
52	77	68
53	78	66
54	79	65
55	81	63
56	82	62
57	84	60
58	85	59
59	86	57
60	88	56
61	89	55
62	91	53
63	92	52
64	94	50
65	95	49
66	97	47
67	98	46
68	100	44
69	101	43
70	102	42
71	104	40
72	105	39
73	107	37
74	108	36
75	111	35
76	113	33
77	115	32
78	116	31
79	118	29
80	119	28
81	120	26
82	122	24
83	123	23
84	125	22
85	127	20
86	128	19
87	129	17
88	131	16
89	132	14
90	134	13
91	135	11
92	137	10
93	138	8
94	140	7
95	141	5
96	143	4
97	144	2
98	146	1
99	147	0
